fault_index,nid_dip,nid_strike,shear_strike,shear_dip,effective_normal,slip_rate,state_variable,state_normal,vxm,vym,vzm,vxs,vys,vzs,slips,slipd,slipn
0,2,4,1.28078050000000E+07,-7.13327968750000E+04,-2.49599520000000E+07,5.21010901088914E-10,1.85579440000000E+08,2.49599520000000E+07,2.60501425985993E-10,4.79421741056315E-26,-1.45085722949578E-12,-2.60501425985993E-10,-4.79421741056315E-26,1.45085722949578E-12,1.92514508962631E-01,-4.36378148151562E-04,-1.79104597124100E-19
0,2,5,1.27854620000000E+07,-6.39121796875000E+04,-2.49708080000000E+07,5.00344932152785E-10,1.88748400000000E+08,2.49708080000000E+07,2.50169329696348E-10,4.60319350976871E-26,-1.25055066128865E-12,-2.50169329696348E-10,-4.60319350976871E-26,1.25055066128865E-12,1.88531488180161E-01,-3.80245473934337E-04,-1.79104597124100E-19
0,2,6,1.27618120000000E+07,-5.36034921875000E+04,-2.49734640000000E+07,4.83208972834603E-10,1.91264112000000E+08,2.49734640000000E+07,2.41602376993555E-10,4.44437732062026E-26,-1.01480336720666E-12,-2.41602376993555E-10,-4.44437732062026E-26,1.01480336720666E-12,1.85522556304932E-01,-3.14183067530394E-04,-1.79104597124100E-19
0,2,7,1.27413430000000E+07,-4.38769179687500E+04,-2.49747060000000E+07,4.69583816276042E-10,1.93206736000000E+08,2.49747060000000E+07,2.34790520359240E-10,4.31798269837880E-26,-8.08539921213353E-13,-2.34790520359240E-10,-4.31798269837880E-26,8.08539921213353E-13,1.83279365301132E-01,-2.55276623647660E-04,-1.79104597124100E-19
0,2,8,1.27245100000000E+07,-3.47433789062500E+04,-2.49764880000000E+07,4.58605764475095E-10,1.94756448000000E+08,2.49764880000000E+07,2.29302035692491E-10,4.21604368864557E-26,-6.26093090132923E-13,-2.29302035692491E-10,-4.21604368864557E-26,6.26093090132923E-13,1.81527689099312E-01,-2.01753602596000E-04,-1.79104597124100E-19
0,2,9,1.27109180000000E+07,-2.69532890625000E+04,-2.49789920000000E+07,4.49691367476746E-10,1.96016912000000E+08,2.49789920000000E+07,2.24845170260224E-10,4.13325828332087E-26,-4.76780399015497E-13,-2.24845170260224E-10,-4.13325828332087E-26,4.76780399015497E-13,1.80121064186096E-01,-1.57013171701692E-04,-1.79104597124100E-19
0,2,10,1.26999490000000E+07,-2.06503085937500E+04,-2.49819100000000E+07,4.42399145095251E-10,1.97056912000000E+08,2.49819100000000E+07,2.21199281114082E-10,4.06556723837950E-26,-3.59673337120558E-13,-2.21199281114082E-10,-4.06556723837950E-26,3.59673337120558E-13,1.78968816995621E-01,-1.21291217510588E-04,-1.79104597124100E-19
0,2,11,1.26910450000000E+07,-1.57216621093750E+04,-2.49849120000000E+07,4.36401081937987E-10,1.97922928000000E+08,2.49849120000000E+07,2.18200374435540E-10,4.00993097414604E-26,-2.70306536485562E-13,-2.18200374435540E-10,-4.00993097414604E-26,2.70306536485562E-13,1.78012952208519E-01,-9.35821808525361E-05,-1.79104597124100E-19
0,2,12,1.26837650000000E+07,-1.19628535156250E+04,-2.49877640000000E+07,4.31449848070642E-10,1.98647968000000E+08,2.49877640000000E+07,2.15724826890806E-10,3.96404669470459E-26,-2.03463602303083E-13,-2.15724826890806E-10,-3.96404669470459E-26,2.03463602303083E-13,1.77213922142982E-01,-7.25259160390124E-05,-1.79104597124100E-19
0,2,13,1.26777740000000E+07,-9.15281054687500E+03,-2.49903460000000E+07,4.27350987930453E-10,1.99257408000000E+08,2.49903460000000E+07,2.13675438454075E-10,3.92609847922917E-26,-1.54264527042237E-13,-2.13675438454075E-10,-3.92609847922917E-26,1.54264527042237E-13,1.76542222499847E-01,-5.67837741982657E-05,-1.79104597124100E-19
0,2,14,1.26728100000000E+07,-7.08825976562500E+03,-2.49926080000000E+07,4.23945462069142E-10,1.99772112000000E+08,2.49926080000000E+07,2.11972703278995E-10,3.89460135869548E-26,-1.18562305155903E-13,-2.11972703278995E-10,-3.89460135869548E-26,1.18562305155903E-13,1.75974011421204E-01,-4.51875530416146E-05,-1.79104597124100E-19
0,2,15,1.26686640000000E+07,-5.59705859375000E+03,-2.49945520000000E+07,4.21100238012784E-10,2.00209856000000E+08,2.49945520000000E+07,2.10550091250816E-10,3.86831195273141E-26,-9.30217478023986E-14,-2.10550091250816E-10,-3.86831195273141E-26,9.30217478023986E-14,1.75489231944084E-01,-3.67805841960944E-05,-1.79104597124100E-19
0,2,16,1.26651640000000E+07,-4.54091064453125E+03,-2.49962000000000E+07,4.18702628124379E-10,2.00586096000000E+08,2.49962000000000E+07,2.09351300184402E-10,3.84618070655446E-26,-7.50598652785213E-14,-2.09351300184402E-10,-3.84618070655446E-26,7.50598652785213E-14,1.75070583820343E-01,-3.08110393234529E-05,-1.79104597124100E-19
0,2,17,1.26621650000000E+07,-3.81280810546875E+03,-2.49975820000000E+07,4.16656903423629E-10,2.00914352000000E+08,2.49975820000000E+07,2.08328437834027E-10,3.82731552941441E-26,-6.27314769140880E-14,-2.08328437834027E-10,-3.82731552941441E-26,6.27314769140880E-14,1.74702987074852E-01,-2.67057603196008E-05,-1.79104597124100E-19
0,2,18,1.26595420000000E+07,-3.33234228515625E+03,-2.49987300000000E+07,4.14881295984770E-10,2.01206448000000E+08,2.49987300000000E+07,2.07440634114597E-10,3.81095714268997E-26,-5.46041280225472E-14,-2.07440634114597E-10,-3.81095714268997E-26,5.46041280225472E-14,1.74373283982277E-01,-2.40390181716066E-05,-1.79104597124100E-19
0,2,19,1.26571840000000E+07,-3.04063061523438E+03,-2.49996680000000E+07,4.13305445423617E-10,2.01472880000000E+08,2.49996680000000E+07,2.06652722711809E-10,3.79645288724159E-26,-4.96441063713333E-14,-2.06652722711809E-10,-3.79645288724159E-26,4.96441063713333E-14,1.74069777131081E-01,-2.25030926230829E-05,-1.79104597124100E-19
0,2,20,1.26549910000000E+07,-2.89572729492188E+03,-2.50004160000000E+07,4.11867789873455E-10,2.01723152000000E+08,2.50004160000000E+07,2.05933894936727E-10,3.78323268780574E-26,-4.71219912319843E-14,-2.05933894936727E-10,-3.78323268780574E-26,4.71219912319843E-14,1.73781812191010E-01,-2.18835903069703E-05,-1.79104597124100E-19
0,2,21,1.26528710000000E+07,-2.86884375000000E+03,-2.50009820000000E+07,4.10512901449778E-10,2.01966176000000E+08,2.50009820000000E+07,2.05256436847101E-10,3.77078470924038E-26,-4.65387378970322E-14,-2.05256436847101E-10,-3.77078470924038E-26,4.65387378970322E-14,1.73499315977097E-01,-2.20401325350394E-05,-1.79104597124100E-19
0,2,22,1.26507280000000E+07,-2.94140136718750E+03,-2.50013660000000E+07,4.09188710692732E-10,2.02210688000000E+08,2.50013660000000E+07,2.04594341468578E-10,3.75862854758020E-26,-4.75699158070195E-14,-2.04594341468578E-10,-3.75862854758020E-26,4.75699158070195E-14,1.73212289810181E-01,-2.28920289373491E-05,-1.79104597124100E-19
