t,max_slip_rate,moment_density_rate
9.13660796e+05,-7.62398400e+00,6.05995900e+07
9.18660796e+05,-7.62349400e+00,6.07181200e+07
9.24160796e+05,-7.62363500e+00,6.08423600e+07
9.29160796e+05,-7.62453300e+00,6.09428400e+07
9.34660796e+05,-7.62657100e+00,6.10313800e+07
9.40160796e+05,-7.62995700e+00,6.10881800e+07
9.45160796e+05,-7.63444000e+00,6.11053000e+07
9.50660796e+05,-7.64118500e+00,6.10800300e+07
9.56160796e+05,-7.65010000e+00,6.10046300e+07
9.61160796e+05,-7.66028700e+00,6.08919400e+07
9.66660796e+05,-7.67392800e+00,6.07222300e+07
9.71660796e+05,-7.68857900e+00,6.05319100e+07
9.77160796e+05,-7.70709000e+00,6.02921400e+07
9.82660796e+05,-7.72788500e+00,6.00324000e+07
9.87660796e+05,-7.73251900e+00,5.97900600e+07
9.93160796e+05,-7.73311000e+00,5.95285600e+07
9.98660796e+05,-7.73380700e+00,5.92834300e+07
1.00366080e+06,-7.73450300e+00,5.90826600e+07
1.00916080e+06,-7.73530400e+00,5.88924700e+07
1.01416080e+06,-7.73603100e+00,5.87512300e+07
1.01966080e+06,-7.73679500e+00,5.86331000e+07
1.02516080e+06,-7.73748800e+00,5.85549400e+07
1.03016080e+06,-7.73803200e+00,5.85183600e+07
1.03566080e+06,-7.73851200e+00,5.85149800e+07
1.04116080e+06,-7.73885300e+00,5.85485100e+07
1.04616080e+06,-7.73903400e+00,5.86091800e+07
1.05166080e+06,-7.73908900e+00,5.87068700e+07
1.05666080e+06,-7.73901200e+00,5.88216900e+07
1.06216080e+06,-7.73880200e+00,5.89740600e+07
1.06766080e+06,-7.73848300e+00,5.91510200e+07
1.07266080e+06,-7.73812800e+00,5.93308100e+07
1.07816080e+06,-7.73770800e+00,5.95466600e+07
1.08316080e+06,-7.73734500e+00,5.97568900e+07
1.08866080e+06,-7.73703300e+00,6.00007300e+07
1.09416080e+06,-7.73689400e+00,6.02547600e+07
1.09916080e+06,-7.73700400e+00,6.04918800e+07
1.10466080e+06,-7.73749100e+00,6.07565100e+07
1.11016080e+06,-7.73848900e+00,6.10219300e+07
1.11516080e+06,-7.73996300e+00,6.12611100e+07
1.12066080e+06,-7.74234900e+00,6.15187800e+07
1.12566080e+06,-7.74534400e+00,6.17454400e+07
1.13116080e+06,-7.74479400e+00,6.19835400e+07
1.13666080e+06,-7.74248900e+00,6.22072400e+07
1.14166080e+06,-7.74103900e+00,6.23961900e+07
1.14716080e+06,-7.74015000e+00,6.25867400e+07
1.15266080e+06,-7.73999400e+00,6.27585000e+07
1.15766080e+06,-7.74048000e+00,6.28985200e+07
1.16316080e+06,-7.74168500e+00,6.30358700e+07
1.16816080e+06,-7.74337100e+00,6.31472400e+07
1.17366080e+06,-7.74584500e+00,6.32574000e+07
1.17916080e+06,-7.74892800e+00,6.33577600e+07
1.18416080e+06,-7.75222200e+00,6.34434100e+07
1.18966080e+06,-7.75633800e+00,6.35347600e+07
1.19516080e+06,-7.76092100e+00,6.36264500e+07
1.20016080e+06,-7.76474300e+00,6.37128400e+07
1.20566080e+06,-7.75989100e+00,6.38139400e+07
1.21066080e+06,-7.75543900e+00,6.39135700e+07
1.21616080e+06,-7.75051200e+00,6.40338400e+07
1.22166080e+06,-7.74556800e+00,6.41673500e+07
1.22666080e+06,-7.74107100e+00,6.43017500e+07
1.23216080e+06,-7.73613100e+00,6.44654100e+07
1.23766080e+06,-7.73121100e+00,6.46470000e+07
1.24266080e+06,-7.72676400e+00,6.48286400e+07
1.24816080e+06,-7.72190900e+00,6.50476100e+07
1.25316080e+06,-7.71753600e+00,6.52647900e+07
1.25866080e+06,-7.71277900e+00,6.55242800e+07
1.26416080e+06,-7.70808800e+00,6.58058600e+07
1.26916080e+06,-7.70389000e+00,6.60813600e+07
1.27466080e+06,-7.69935800e+00,6.64061000e+07
1.28016080e+06,-7.69493100e+00,6.67536400e+07
1.28516080e+06,-7.69101600e+00,6.70892500e+07
1.29066080e+06,-7.68685200e+00,6.74797400e+07
1.29566080e+06,-7.68322400e+00,6.78535700e+07
1.30116080e+06,-7.67944400e+00,6.82846400e+07
1.30666080e+06,-7.67593500e+00,6.87351300e+07
1.31166080e+06,-7.67303600e+00,6.91599400e+07
1.31716080e+06,-7.67024400e+00,6.96416800e+07
1.32266080e+06,-7.66796500e+00,7.01354000e+07
1.32766080e+06,-7.66644400e+00,7.05911500e+07
1.33316080e+06,-7.66551400e+00,7.10953600e+07
1.33816080e+06,-7.66548900e+00,7.15513600e+07
1.34366080e+06,-7.66655100e+00,7.20437700e+07
1.34916080e+06,-7.66897000e+00,7.25187300e+07
1.35416080e+06,-7.67255000e+00,7.29281500e+07
1.35966080e+06,-7.67822700e+00,7.33458700e+07
1.36516080e+06,-7.68594100e+00,7.37216100e+07
1.37016080e+06,-7.69487100e+00,7.40212700e+07
1.37566080e+06,-7.70690300e+00,7.43009600e+07
1.38066080e+06,-7.71716600e+00,7.45089200e+07
1.38616080e+06,-7.71063900e+00,7.46887300e+07
1.39166080e+06,-7.70478000e+00,7.48223700e+07
1.39666080e+06,-7.70017700e+00,7.49101200e+07
1.40216080e+06,-7.69609500e+00,7.49775700e+07
1.40766080e+06,-7.69325100e+00,7.50228500e+07
1.41266080e+06,-7.69193700e+00,7.50510200e+07
1.41816080e+06,-7.68805100e+00,7.50727400e+07
1.42316080e+06,-7.68185900e+00,7.50867200e+07
1.42866080e+06,-7.67593300e+00,7.50967900e+07
1.43416080e+06,-7.67114800e+00,7.51005600e+07
1.43916080e+06,-7.66799600e+00,7.50967700e+07
1.44466080e+06,-7.66608800e+00,7.50818900e+07
1.45016080e+06,-7.66608000e+00,7.50525600e+07
1.45516080e+06,-7.66794800e+00,7.50105700e+07
1.46066080e+06,-7.67229500e+00,7.49449400e+07
1.46566080e+06,-7.67849500e+00,7.48660800e+07
1.47116080e+06,-7.68790800e+00,7.47578000e+07
1.47666080e+06,-7.70006800e+00,7.46282700e+07
1.48166080e+06,-7.69613300e+00,7.44948700e+07
1.48716080e+06,-7.68939700e+00,7.43357100e+07
1.49216080e+06,-7.68395300e+00,7.41850700e+07
1.49766080e+06,-7.67872400e+00,7.40194600e+07
1.50316080e+06,-7.67428400e+00,7.38607600e+07
1.50816080e+06,-7.67091400e+00,7.37276900e+07
1.51366080e+06,-7.66791400e+00,7.35981000e+07
1.51916080e+06,-7.66562500e+00,7.34892100e+07
1.52416080e+06,-7.66414100e+00,7.34095500e+07
1.52966080e+06,-7.66315100e+00,7.33433000e+07
1.53466080e+06,-7.66283800e+00,7.33015300e+07
1.54016080e+06,-7.66315900e+00,7.32737400e+07
1.54566080e+06,-7.66422300e+00,7.32617500e+07
1.55066080e+06,-7.66589700e+00,7.32611100e+07
1.55616080e+06,-7.66861000e+00,7.32672400e+07
1.56166080e+06,-7.67235900e+00,7.32753700e+07
1.56666080e+06,-7.67679500e+00,7.32797600e+07
1.57216080e+06,-7.68296000e+00,7.32759900e+07
1.57716080e+06,-7.68987200e+00,7.32603000e+07
1.58266080e+06,-7.69906500e+00,7.32251200e+07
1.58816080e+06,-7.71004800e+00,7.31675800e+07
1.59316080e+06,-7.72165600e+00,7.30940100e+07
1.59866080e+06,-7.72680400e+00,7.29893400e+07
1.60416080e+06,-7.72103900e+00,7.28612900e+07
1.60916080e+06,-7.71632600e+00,7.27273700e+07
1.61466080e+06,-7.71171900e+00,7.25651500e+07
1.61966080e+06,-7.70804000e+00,7.24087500e+07
1.62516080e+06,-7.70452700e+00,7.22324300e+07
1.63066080e+06,-7.70153700e+00,7.20573200e+07
1.63566080e+06,-7.69923200e+00,7.19036800e+07
1.64116080e+06,-7.69710500e+00,7.17450000e+07
1.64666080e+06,-7.69535500e+00,7.16007000e+07
1.65166080e+06,-7.69404900e+00,7.14843500e+07
1.65716080e+06,-7.69288000e+00,7.13744800e+07
1.66216080e+06,-7.69202400e+00,7.12920800e+07
1.66766080e+06,-7.69127600e+00,7.12212500e+07
1.67316080e+06,-7.69069800e+00,7.11712600e+07
1.67816080e+06,-7.69029900e+00,7.11435800e+07
1.68366080e+06,-7.68998200e+00,7.11320100e+07
1.68916080e+06,-7.68978400e+00,7.11391300e+07
1.69416080e+06,-7.68970600e+00,7.11605900e+07
1.69966080e+06,-7.68974000e+00,7.11990400e+07
1.70466080e+06,-7.68989200e+00,7.12457000e+07
1.71016080e+06,-7.69022100e+00,7.13075400e+07
1.71566080e+06,-7.69075800e+00,7.13774500e+07
1.72066080e+06,-7.69147000e+00,7.14450400e+07
1.72616080e+06,-7.69256500e+00,7.15200800e+07
1.73166080e+06,-7.69406500e+00,7.15913600e+07
1.73666080e+06,-7.69586800e+00,7.16485800e+07
1.74216080e+06,-7.69844200e+00,7.16980600e+07
1.74716080e+06,-7.70142900e+00,7.17260500e+07
1.75266080e+06,-7.70556600e+00,7.17327500e+07
1.75816080e+06,-7.71074900e+00,7.17089100e+07
1.76316080e+06,-7.71650500e+00,7.16567600e+07
1.76866080e+06,-7.72413100e+00,7.15626300e+07
1.77416080e+06,-7.73324400e+00,7.14281900e+07
1.77916080e+06,-7.73989200e+00,7.12710300e+07
1.78466080e+06,-7.73793400e+00,7.10616700e+07
1.78966080e+06,-7.73628000e+00,7.08414700e+07
1.79516080e+06,-7.73459700e+00,7.05716100e+07
1.80066080e+06,-7.73304800e+00,7.02793900e+07
1.80566080e+06,-7.73174700e+00,7.00005700e+07
1.81116080e+06,-7.73042200e+00,6.96862400e+07
1.81666080e+06,-7.72919600e+00,6.93707200e+07
1.82166080e+06,-7.72815500e+00,6.90880700e+07
1.82716080e+06,-7.72708300e+00,6.87865800e+07
1.83216080e+06,-7.72616700e+00,6.85244500e+07
1.83766080e+06,-7.72522200e+00,6.82521500e+07
1.84316080e+06,-7.72434700e+00,6.79987800e+07
1.84816080e+06,-7.72362000e+00,6.77860200e+07
1.85366080e+06,-7.72291300e+00,6.75719100e+07
1.85866080e+06,-7.72237800e+00,6.73954300e+07
1.86416080e+06,-7.72194200e+00,6.72209000e+07
1.86966080e+06,-7.72171500e+00,6.70660300e+07
1.87466080e+06,-7.72174400e+00,6.69412500e+07
1.88016080e+06,-7.72210600e+00,6.68200600e+07
1.88566080e+06,-7.72290400e+00,6.67137600e+07
1.89066080e+06,-7.72338500e+00,6.66280700e+07
1.89616080e+06,-7.72302700e+00,6.65433800e+07
1.90116080e+06,-7.72264600e+00,6.64726800e+07
1.90666080e+06,-7.72216900e+00,6.63989300e+07
1.91216080e+06,-7.72163600e+00,6.63262600e+07
1.91716080e+06,-7.72111600e+00,6.62584800e+07
1.92266080e+06,-7.72052300e+00,6.61792900e+07
1.92816080e+06,-7.71993300e+00,6.60928400e+07
1.93316080e+06,-7.71942800e+00,6.60063400e+07
1.93866080e+06,-7.71894800e+00,6.59013700e+07
1.94366080e+06,-7.71862000e+00,6.57966600e+07
1.94916080e+06,-7.71843800e+00,6.56714500e+07
1.95466080e+06,-7.71851300e+00,6.55364800e+07
1.95966080e+06,-7.71887500e+00,6.54061700e+07
1.96516080e+06,-7.71968700e+00,6.52554700e+07
1.97066080e+06,-7.72104000e+00,6.50979200e+07
1.97566080e+06,-7.72284500e+00,6.49491600e+07
1.98116080e+06,-7.72558800e+00,6.47794700e+07
1.98616080e+06,-7.72888800e+00,6.46193400e+07
1.99166080e+06,-7.73354500e+00,6.44359300e+07
1.99716080e+06,-7.73942100e+00,6.42438500e+07
2.00216080e+06,-7.74593600e+00,6.40607500e+07
2.00766080e+06,-7.75450000e+00,6.38491400e+07
2.01316080e+06,-7.76460700e+00,6.36264300e+07
2.01816080e+06,-7.76224800e+00,6.34144900e+07
2.02366080e+06,-7.75888300e+00,6.31718800e+07
2.02866080e+06,-7.75630000e+00,6.29441600e+07
2.03416080e+06,-7.75397200e+00,6.26881200e+07
2.03966080e+06,-7.75216400e+00,6.24292600e+07
2.04466080e+06,-7.75095000e+00,6.21943000e+07
2.05016080e+06,-7.75005700e+00,6.19394300e+07
2.05566080e+06,-7.74958900e+00,6.16914700e+07
2.06066080e+06,-7.74949600e+00,6.14745100e+07
2.06616080e+06,-7.74971800e+00,6.12474600e+07
2.07116080e+06,-7.75017500e+00,6.10532500e+07
2.07666080e+06,-7.75091500e+00,6.08544900e+07
2.08216080e+06,-7.75185900e+00,6.06723900e+07
2.08716080e+06,-7.75285700e+00,6.05219700e+07
2.09266080e+06,-7.75407100e+00,6.03735700e+07
2.09816080e+06,-7.75536800e+00,6.02432800e+07
2.10316080e+06,-7.75659200e+00,6.01405800e+07
2.10866080e+06,-7.75795700e+00,6.00448500e+07
2.11366080e+06,-7.75919400e+00,5.99733600e+07
2.11916080e+06,-7.76052700e+00,5.99115600e+07
2.12466080e+06,-7.76181100e+00,5.98671200e+07
2.12966080e+06,-7.76292000e+00,5.98415100e+07
2.13516080e+06,-7.76406500e+00,5.98292600e+07
2.14066080e+06,-7.76511900e+00,5.98333400e+07
2.14566080e+06,-7.76599000e+00,5.98509000e+07
2.15116080e+06,-7.76685000e+00,5.98850900e+07
2.15616080e+06,-7.76753800e+00,5.99293600e+07
2.16166080e+06,-7.76819200e+00,5.99921900e+07
2.16716080e+06,-7.76874200e+00,6.00693900e+07
2.17216080e+06,-7.76915800e+00,6.01516600e+07
2.17766080e+06,-7.76953000e+00,6.02549900e+07
2.18316080e+06,-7.76982600e+00,6.03712200e+07
2.18816080e+06,-7.77004400e+00,6.04875900e+07
2.19366080e+06,-7.77024700e+00,6.06267300e+07
2.19866080e+06,-7.77042100e+00,6.07627300e+07
2.20416080e+06,-7.77062900e+00,6.09219900e+07
